Timestamp,EAR,PERCLOS,Alert_Status
2026-04-30 12:39:16,0.32,0.00,Normal
2026-04-30 12:39:16,0.32,0.00,Normal
2026-04-30 12:39:17,0.36,0.00,Normal
2026-04-30 12:39:17,0.34,0.00,Normal
2026-04-30 12:39:17,0.28,0.00,Normal
2026-04-30 12:39:17,0.29,0.00,Normal
2026-04-30 12:39:18,0.22,14.29,Normal
2026-04-30 12:39:18,0.29,12.50,Normal
2026-04-30 12:39:18,0.26,11.11,Normal
2026-04-30 12:39:18,0.29,10.00,Normal
2026-04-30 12:39:18,0.28,9.09,Normal
2026-04-30 12:39:18,0.30,8.33,Normal
2026-04-30 12:39:18,0.29,7.69,Normal
2026-04-30 12:39:18,0.30,7.14,Normal
2026-04-30 12:39:18,0.33,6.67,Normal
2026-04-30 12:39:18,0.29,6.25,Normal
2026-04-30 12:39:19,0.30,5.88,Normal
2026-04-30 12:39:19,0.30,5.56,Normal
2026-04-30 12:39:19,0.29,5.26,Normal
2026-04-30 12:39:19,0.32,5.00,Normal
2026-04-30 12:39:19,0.27,4.76,Normal
2026-04-30 12:39:19,0.28,4.55,Normal
2026-04-30 12:39:19,0.29,4.35,Normal
2026-04-30 12:39:19,0.29,4.17,Normal
2026-04-30 12:39:19,0.29,4.00,Normal
2026-04-30 12:39:19,0.30,3.85,Normal
2026-04-30 12:39:19,0.28,3.70,Normal
2026-04-30 12:39:20,0.32,3.57,Normal
2026-04-30 12:39:20,0.34,3.45,Normal
2026-04-30 12:39:20,0.32,3.33,Normal
2026-04-30 12:39:20,0.31,3.23,Normal
2026-04-30 12:39:20,0.30,3.12,Normal
2026-04-30 12:39:20,0.28,3.03,Normal
2026-04-30 12:39:20,0.28,2.94,Normal
2026-04-30 12:39:20,0.26,2.86,Normal
2026-04-30 12:39:20,0.16,5.56,Normal
2026-04-30 12:39:20,0.17,8.11,Normal
2026-04-30 12:39:20,0.22,10.53,Normal
2026-04-30 12:39:21,0.20,12.82,Normal
2026-04-30 12:39:21,0.23,15.00,Normal
2026-04-30 12:39:21,0.20,17.07,Normal
2026-04-30 12:39:21,0.16,19.05,Normal
2026-04-30 12:39:21,0.20,20.93,Normal
2026-04-30 12:39:21,0.13,22.73,Normal
2026-04-30 12:39:21,0.18,24.44,Normal
2026-04-30 12:39:21,0.22,26.09,Normal
2026-04-30 12:39:21,0.25,27.66,Normal
2026-04-30 12:39:21,0.27,27.08,Normal
2026-04-30 12:39:22,0.29,26.53,Normal
2026-04-30 12:39:22,0.30,26.00,Normal
2026-04-30 12:39:22,0.29,25.49,Normal
2026-04-30 12:39:22,0.28,25.00,Normal
2026-04-30 12:39:22,0.30,24.53,Normal
2026-04-30 12:39:22,0.28,24.07,Normal
2026-04-30 12:39:22,0.29,23.64,Normal
2026-04-30 12:39:22,0.29,23.21,Normal
2026-04-30 12:39:22,0.27,22.81,Normal
2026-04-30 12:39:22,0.30,22.41,Normal
2026-04-30 12:39:22,0.15,23.73,Normal
2026-04-30 12:39:23,0.19,25.00,Normal
2026-04-30 12:39:23,0.18,26.23,Normal
2026-04-30 12:39:23,0.20,27.42,Normal
2026-04-30 12:39:23,0.21,28.57,Normal
2026-04-30 12:39:23,0.21,29.69,Normal
2026-04-30 12:39:23,0.23,30.77,Normal
2026-04-30 12:39:23,0.15,31.82,Normal
2026-04-30 12:39:23,0.16,32.84,Normal
2026-04-30 12:39:23,0.20,33.82,Normal
2026-04-30 12:39:23,0.19,34.78,Normal
2026-04-30 12:39:23,0.19,35.71,Normal
2026-04-30 12:39:24,0.18,36.62,Normal
2026-04-30 12:39:24,0.25,37.50,Normal
2026-04-30 12:39:24,0.25,38.36,Normal
2026-04-30 12:39:24,0.31,37.84,Normal
2026-04-30 12:39:24,0.30,37.33,Normal
2026-04-30 12:39:24,0.32,36.84,Normal
2026-04-30 12:39:24,0.29,36.36,Normal
2026-04-30 12:39:24,0.30,35.90,Normal
2026-04-30 12:39:24,0.30,35.44,Normal
2026-04-30 12:39:24,0.31,35.00,Normal
2026-04-30 12:39:24,0.30,34.57,Normal
2026-04-30 12:39:25,0.30,34.15,Normal
2026-04-30 12:39:25,0.30,33.73,Normal
2026-04-30 12:39:25,0.31,33.33,Normal
2026-04-30 12:39:25,0.33,32.94,Normal
2026-04-30 12:39:25,0.36,32.56,Normal
2026-04-30 12:39:25,0.36,32.18,Normal
2026-04-30 12:39:25,0.36,31.82,Normal
2026-04-30 12:39:25,0.37,31.46,Normal
2026-04-30 12:39:25,0.43,31.11,Normal
2026-04-30 12:39:25,0.40,30.77,Normal
2026-04-30 12:39:25,0.43,30.43,Normal
2026-04-30 12:39:26,0.39,30.11,Normal
2026-04-30 12:39:26,0.43,29.79,Normal
2026-04-30 12:39:26,0.42,29.47,Normal
2026-04-30 12:39:26,0.40,29.17,Normal
2026-04-30 12:39:26,0.41,28.87,Normal
2026-04-30 12:39:26,0.41,28.57,Normal
2026-04-30 12:39:26,0.41,28.28,Normal
2026-04-30 12:39:26,0.40,28.00,Normal
2026-04-30 12:39:26,0.39,27.72,Normal
2026-04-30 12:39:26,0.33,27.45,Normal
2026-04-30 12:39:26,0.35,27.18,Normal
2026-04-30 12:39:27,0.35,26.92,Normal
2026-04-30 12:39:27,0.33,26.67,Normal
2026-04-30 12:39:27,0.32,26.42,Normal
2026-04-30 12:39:27,0.30,26.17,Normal
2026-04-30 12:39:27,0.20,26.85,Normal
2026-04-30 12:39:27,0.25,27.52,Normal
2026-04-30 12:39:27,0.25,27.27,Normal
2026-04-30 12:39:27,0.28,27.03,Normal
2026-04-30 12:39:27,0.29,26.79,Normal
2026-04-30 12:39:27,0.27,26.55,Normal
2026-04-30 12:39:28,0.29,26.32,Normal
2026-04-30 12:39:28,0.30,26.09,Normal
2026-04-30 12:39:28,0.30,25.86,Normal
2026-04-30 12:39:28,0.28,25.64,Normal
2026-04-30 12:39:28,0.29,25.42,Normal
2026-04-30 12:39:28,0.27,25.21,Normal
2026-04-30 12:39:28,0.31,25.00,Normal
2026-04-30 12:39:28,0.30,24.79,Normal
2026-04-30 12:39:28,0.29,24.59,Normal
2026-04-30 12:39:28,0.30,24.39,Normal
2026-04-30 12:39:28,0.30,24.19,Normal
2026-04-30 12:39:29,0.30,24.00,Normal
2026-04-30 12:39:29,0.30,23.81,Normal
2026-04-30 12:39:29,0.30,23.62,Normal
2026-04-30 12:39:29,0.27,23.44,Normal
2026-04-30 12:39:29,0.27,23.26,Normal
2026-04-30 12:39:29,0.26,23.08,Normal
2026-04-30 12:39:29,0.30,22.90,Normal
2026-04-30 12:39:29,0.27,22.73,Normal
2026-04-30 12:39:29,0.25,22.56,Normal
2026-04-30 12:39:29,0.29,22.39,Normal
2026-04-30 12:39:29,0.26,22.22,Normal
2026-04-30 12:39:29,0.28,22.06,Normal
2026-04-30 12:39:30,0.28,21.90,Normal
2026-04-30 12:39:30,0.15,22.46,Normal
2026-04-30 12:39:30,0.21,23.02,Normal
2026-04-30 12:39:30,0.24,23.57,Normal
2026-04-30 12:39:30,0.26,23.40,Normal
2026-04-30 12:39:30,0.24,23.94,Normal
2026-04-30 12:39:30,0.25,23.78,Normal
2026-04-30 12:39:30,0.25,23.61,Normal
2026-04-30 12:39:30,0.25,24.14,Normal
2026-04-30 12:39:30,0.23,24.66,Normal
